_id,prediction_id,ticker,strategy,signal,status,open_date,close_date,closing_reason,net_pnl,net_return_pct,batch_id
68f21ece5ddc30f0e1455dc0,68f21c5959f85776fdc0f691,HDFCBANK.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-01-03T00:00:00.000Z,2025-01-09T00:00:00.000Z,Target Hit,2461,6.87,AzureAI-Run5
68f21f635ddc30f0e1455dc1,68f21b2a59f85776fdc0f680,TCS.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-01-01T00:00:00.000Z,2025-01-10T00:00:00.000Z,Trailing Stop Hit,-1537.36,-4.17,AzureAI-Run5
68f220555ddc30f0e1455dc2,68f21bc359f85776fdc0f68f,TATASTEEL.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-01-02T00:00:00.000Z,2025-01-13T00:00:00.000Z,Target Hit,3881.41,9.6,AzureAI-Run5
68f222195ddc30f0e1455dc3,68f21b2c59f85776fdc0f685,HEROMOTOCO.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-01-01T00:00:00.000Z,2025-01-16T00:00:00.000Z,Time Exit,780.09,2.08,AzureAI-Run5
68f222195ddc30f0e1455dc4,68f21b2d59f85776fdc0f686,JSWSTEEL.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-01-01T00:00:00.000Z,2025-01-16T00:00:00.000Z,Time Exit,-322.77,-0.97,AzureAI-Run5
68f222195ddc30f0e1455dc5,68f21b2b59f85776fdc0f681,SUNPHARMA.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-01-01T00:00:00.000Z,2025-01-16T00:00:00.000Z,Time Exit,2287.4,6.37,AzureAI-Run5
68f222195ddc30f0e1455dc6,68f21f9c59f85776fdc0f6ba,SHRIRAMFIN.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-01-10T00:00:00.000Z,2025-01-16T00:00:00.000Z,Trailing Stop Hit,698.53,2.33,AzureAI-Run5
68f224325ddc30f0e1455dc7,68f21dde59f85776fdc0f6a3,ICICIBANK.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-01-07T00:00:00.000Z,2025-01-21T00:00:00.000Z,Trailing Stop Hit,1188.5,2.35,AzureAI-Run5
68f224c95ddc30f0e1455dc8,68f21f9d59f85776fdc0f6bf,TRENT.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-01-10T00:00:00.000Z,2025-01-22T00:00:00.000Z,Target Hit,2880.97,14.55,AzureAI-Run5
68f2255d5ddc30f0e1455dc9,68f2225259f85776fdc0f6de,SUNPHARMA.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-01-16T00:00:00.000Z,2025-01-23T00:00:00.000Z,Trailing Stop Hit,-1846.29,-2.81,AzureAI-Run5
68f225f05ddc30f0e1455dca,68f21f0959f85776fdc0f6b6,TECHM.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-01-09T00:00:00.000Z,2025-01-24T00:00:00.000Z,Trailing Stop Hit,-1602.23,-4.59,AzureAI-Run5
68f225f15ddc30f0e1455dcb,68f2246d59f85776fdc0f6f7,INFY.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-01-21T00:00:00.000Z,2025-01-24T00:00:00.000Z,Trailing Stop Hit,-1719.76,-4.5,AzureAI-Run5
68f227805ddc30f0e1455dcc,68f2263059f85776fdc0f710,SUNPHARMA.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-01-24T00:00:00.000Z,2025-01-28T00:00:00.000Z,Trailing Stop Hit,926.34,2.98,AzureAI-Run5
68f228135ddc30f0e1455dcd,68f2212459f85776fdc0f6ca,CIPLA.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-01-14T00:00:00.000Z,2025-01-29T00:00:00.000Z,Time Exit,201.27,0.5,AzureAI-Run5
68f2293c5ddc30f0e1455dce,68f222ec59f85776fdc0f6ec,HEROMOTOCO.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-01-17T00:00:00.000Z,2025-01-31T00:00:00.000Z,Trailing Stop Hit,-1684.28,-4.59,AzureAI-Run5
68f2293c5ddc30f0e1455dcf,68f2246e59f85776fdc0f6fa,M&M.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-01-21T00:00:00.000Z,2025-01-31T00:00:00.000Z,Trailing Stop Hit,-1657.66,-4.76,AzureAI-Run5
68f2293c5ddc30f0e1455dd0,68f227b759f85776fdc0f729,INDUSINDBK.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-01-28T00:00:00.000Z,2025-01-31T00:00:00.000Z,Trailing Stop Hit,-1734.85,-4.21,AzureAI-Run5
68f22a265ddc30f0e1455dd1,68f222eb59f85776fdc0f6e8,ITC.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-01-17T00:00:00.000Z,2025-02-03T00:00:00.000Z,Stop-Loss Hit (Gap Up),-3113.19,-7.05,AzureAI-Run5
68f22a275ddc30f0e1455dd2,68f2284b59f85776fdc0f72b,SUNPHARMA.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-01-29T00:00:00.000Z,2025-02-03T00:00:00.000Z,Stop-Loss Hit (Gap Up),-1801.31,-4.8,AzureAI-Run5
68f22ab45ddc30f0e1455dd3,68f2246d59f85776fdc0f6f8,ICICIBANK.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-01-21T00:00:00.000Z,2025-02-04T00:00:00.000Z,Trailing Stop Hit,-1828.77,-3.21,AzureAI-Run5
68f22ab45ddc30f0e1455dd4,68f2250459f85776fdc0f703,DRREDDY.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-01-22T00:00:00.000Z,2025-02-04T00:00:00.000Z,Trailing Stop Hit,1847.3,4.34,AzureAI-Run5
68f22ab45ddc30f0e1455dd5,68f227b659f85776fdc0f723,INFY.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-01-28T00:00:00.000Z,2025-02-04T00:00:00.000Z,Trailing Stop Hit,-1737.68,-4.32,AzureAI-Run5
68f22b435ddc30f0e1455dd6,68f22ae859f85776fdc0f753,HINDALCO.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-02-04T00:00:00.000Z,2025-02-05T00:00:00.000Z,Trailing Stop Hit,-1568.12,-4.22,AzureAI-Run5
68f22bd55ddc30f0e1455dd7,68f2250359f85776fdc0f6ff,TCS.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-01-22T00:00:00.000Z,2025-02-06T00:00:00.000Z,Time Exit,-372.61,-1.15,AzureAI-Run5
68f22d5f5ddc30f0e1455dd8,68f2263159f85776fdc0f711,HCLTECH.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-01-24T00:00:00.000Z,2025-02-10T00:00:00.000Z,Time Exit,781.85,3.34,AzureAI-Run5
68f22fac5ddc30f0e1455dd9,68f22b7a59f85776fdc0f75a,HINDALCO.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-02-05T00:00:00.000Z,2025-02-14T00:00:00.000Z,Trailing Stop Hit,-1119.48,-5.32,AzureAI-Run5
68f231d45ddc30f0e1455dda,68f22ae759f85776fdc0f751,TATAMOTORS.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-02-04T00:00:00.000Z,2025-02-19T00:00:00.000Z,Time Exit,501.92,1.86,AzureAI-Run5
68f232665ddc30f0e1455ddb,68f22ebe59f85776fdc0f780,SBILIFE.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-02-12T00:00:00.000Z,2025-02-20T00:00:00.000Z,Trailing Stop Hit,-1144.67,-4.46,AzureAI-Run5
